City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,zhalantun,48.0,122.7167,-9.2,78,100,8.33,CN,1700644064
137,fort st. john,56.2499,-120.8529,-8.35,86,100,1.33,CA,1700643657
138,petropavlovsk-kamchatsky,53.0452,158.6483,-0.86,69,0,11.18,RU,1700643585
139,lata,40.1629,-8.3327,9.49,73,20,2.08,PT,1700644064
140,puerto ayora,-0.7393,-90.3518,20.31,93,34,2.34,EC,1700643810
141,polyarnyy,69.1989,33.4478,-12.43,95,13,5.8,RU,1700643714
142,kupang,-10.1667,123.5833,33.32,43,20,7.72,ID,1700644065
143,la passe,45.5549,-0.8967,11.13,84,58,6.17,FR,1700644065
144,kodinsk,58.6881,99.1844,-16.42,93,30,1.53,RU,1700643872
145,myski,53.709,87.8014,-7.01,66,24,3.47,RU,1700644065
146,london,51.5085,-0.1257,6.86,92,100,2.57,GB,1700643247
147,puerto deseado,-47.7503,-65.8938,9.55,56,100,4.91,AR,1700643733
148,kuna,43.4918,-116.4201,3.21,92,0,3.09,US,1700644065
149,panacan,9.2463,118.4082,27.41,85,100,4.9,PH,1700643851
150,taltal,-25.4,-70.4833,15.04,84,25,0.86,CL,1700643850
151,akureyri,65.6835,-18.0878,0.74,69,22,13.93,IS,1700644029
152,kerikeri,-35.2268,173.9474,16.06,86,90,1.56,NZ,1700643856
153,igarka,67.4667,86.5833,-29.02,99,89,2.78,RU,1700643888
154,bayanhongor,46.7167,100.1167,-21.02,72,0,0.95,MN,1700644065
155,sibbo,60.3775,25.2691,-3.32,93,23,1.54,FI,1700644065
156,salah bey,35.8545,5.2905,8.53,68,79,7.55,DZ,1700644066
157,salinas,36.6777,-121.6555,15.59,47,0,2.57,US,1700644066
158,atherton,53.5237,-2.4935,10.79,93,100,0.89,GB,1700644066
159,trairi,-3.2778,-39.2689,27.22,70,36,6.02,BR,1700644066
160,carnarvon,-24.8667,113.6333,25.01,70,43,7.69,AU,1700643863
161,klaipeda,55.7172,21.1175,-2.97,78,8,2.03,LT,1700643491
162,udachny,66.4167,112.4,-27.53,82,100,1.61,RU,1700643845
163,heiligenhafen,54.3667,10.9833,2.64,90,83,5.41,DE,1700644066
164,ketchikan,55.3422,-131.6461,5.99,93,100,1.54,US,1700643816
165,anse la raye,13.9333,-61.0333,24.05,78,18,3.38,LC,1700644066
166,santana,-0.0583,-51.1817,28.1,78,75,2.06,BR,1700644067
167,san patricio,28.017,-97.5169,13.8,66,8,3.32,US,1700643819
168,port lincoln,-34.7333,135.8667,16.0,75,0,9.61,AU,1700643815
169,fortuna,40.5982,-124.1573,7.97,100,0,4.63,US,1700644067
170,mariental,-24.6333,17.9667,31.52,18,49,2.35,NA,1700644067
171,chibougamau,49.9168,-74.3659,-3.99,94,100,4.99,CA,1700644067
172,kelso,46.1468,-122.9084,10.05,94,100,4.02,US,1700644067
173,tyukalinsk,55.8732,72.1967,-5.97,72,97,9.6,RU,1700644067
174,sovetskiy,61.3614,63.5842,-7.84,95,100,4.02,RU,1700644067
175,baie-comeau,49.2168,-68.1489,-0.95,57,100,5.87,CA,1700643868
176,lerwick,60.1545,-1.1494,10.0,78,100,11.57,GB,1700643883
177,brooks,50.5834,-111.8851,0.02,59,100,4.07,CA,1700644068
178,novodvinsk,64.4165,40.8122,-15.68,99,83,0.42,RU,1700644068
179,pargas,60.3067,22.301,-3.1,76,100,8.32,FI,1700644068
180,college,64.8569,-147.8028,-15.31,80,20,1.54,US,1700643808
181,cidreira,-30.1811,-50.2056,20.63,92,100,1.9,BR,1700643793
182,yermakovskoye,53.2831,92.4003,-12.99,77,42,2.73,RU,1700644068
183,portland,45.5234,-122.6762,10.38,92,100,3.13,US,1700643609
184,usogorsk,63.4106,48.6872,-16.3,96,84,2.72,RU,1700644068
185,slatina,44.4333,24.3667,9.7,92,100,3.93,RO,1700644069
186,bokani,9.4333,5.2,29.73,25,100,1.61,NG,1700644069
187,santa ana,33.7456,-117.8678,21.62,26,98,1.88,US,1700643597
188,sitka,57.0531,-135.33,5.94,81,100,3.6,US,1700643826
189,sidi khaled,34.387,4.9879,15.92,48,0,10.67,DZ,1700644069
190,afaahiti,-17.75,-149.2833,25.93,87,93,8.55,PF,1700643810
191,maua,-23.6678,-46.4614,23.33,90,96,1.59,BR,1700644069
192,tsiombe,-25.3,45.4833,37.83,17,0,3.9,MG,1700643809
193,gardnerville ranchos,38.8882,-119.7413,9.58,93,0,2.57,US,1700644069
194,sandnessjoen,66.0217,12.6316,4.12,81,75,13.38,NO,1700644069
195,buala,-8.145,159.5921,27.06,82,99,2.19,SB,1700644069
196,hammerfest,70.6634,23.6821,-6.75,73,20,14.4,NO,1700643732
197,gulf shores,30.246,-87.7008,13.93,75,0,3.09,US,1700644070
198,tangalle,6.024,80.7911,31.09,70,48,2.97,LK,1700643850
199,ust-nera,64.5667,143.2,-32.74,99,100,1.26,RU,1700643816
200,szentlorinc,46.0402,17.9872,6.49,82,100,5.11,HU,1700644070
201,sierra grande,-41.606,-65.3557,11.78,33,100,4.1,AR,1700643863
202,yarmouth,41.7057,-70.2286,7.23,91,100,8.23,US,1700644070
203,peace river,56.2501,-117.286,-10.19,97,38,2.16,CA,1700643826
204,labrador city,52.9463,-66.9114,-7.86,81,100,4.67,CA,1700644070
205,dudinka,69.4058,86.1778,-21.88,98,100,5.57,RU,1700643829
206,midelt,32.6852,-4.7451,11.78,34,2,8.74,MA,1700644070
207,port saint john's,-31.6229,29.5448,26.41,67,35,3.26,ZA,1700643808
208,alice springs,-23.7,133.8833,26.75,36,100,3.6,AU,1700644071
209,eichstatt,48.8833,11.1833,2.66,87,75,3.6,DE,1700643937
210,plastun,44.7561,136.2939,1.38,90,100,1.01,RU,1700643840
211,sinabang,2.4803,96.3801,26.62,79,100,2.07,ID,1700643764
212,paracuru,-3.41,-39.0306,27.84,74,20,6.36,BR,1700644071
213,nadvoitsy,63.8667,34.3167,-12.7,95,58,1.57,RU,1700644071
214,doume,4.2333,13.45,22.09,95,100,1.21,CM,1700644071
215,tutoia,-2.7619,-42.2744,26.61,79,58,5.6,BR,1700644071
216,thompson,55.7435,-97.8558,-13.25,75,8,4.84,CA,1700643838
217,saurimo,-9.6608,20.3916,26.7,63,100,1.05,AO,1700644071
218,brotas,-22.2842,-48.1267,21.06,92,87,1.36,BR,1700644072
219,new norfolk,-42.7826,147.0587,14.28,79,100,1.64,AU,1700643871
220,ilulissat,69.2167,-51.1,-3.99,68,100,4.12,GL,1700643662
221,nova sintra,14.8667,-24.7167,23.78,73,100,6.23,CV,1700643817
222,zhangjiakou shi xuanhua qu,40.6103,115.0447,5.33,43,33,4.19,CN,1700644072
223,keflavik,64.0049,-22.5624,3.24,52,75,18.01,IS,1700643749
224,faya-largeau,17.9257,19.1043,26.27,18,97,3.6,TD,1700644072
225,santa cruz,-17.8,-63.1667,23.7,94,75,7.72,BO,1700643975
226,lebu,-37.6167,-73.65,8.72,85,45,2.63,CL,1700643833
227,chernyshevskiy,63.0128,112.4714,-34.29,100,41,1.32,RU,1700643865
228,gandorhun,7.5,-11.8333,26.89,82,49,1.15,SL,1700644073
229,palmer,42.1584,-72.3287,6.03,77,100,3.09,US,1700643896
230,xilin hot,43.9667,116.0333,-8.94,84,65,4.03,CN,1700644073
231,lazaro cardenas,17.9583,-102.2,26.31,78,78,1.44,MX,1700644073
232,alo,7.4178,6.7371,30.54,59,69,1.42,NG,1700644073
233,nizhnegorskiy,45.4479,34.7384,9.32,89,100,1.51,UA,1700644073
